City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,291.19,94,20,2.06,MG,1687894608
1,tiksi,71.6872,128.8694,282.35,64,99,4.15,RU,1687894608
2,waitangi,-43.9535,-176.5597,284.72,94,100,4.92,NZ,1687894608
3,west island,-12.1568,96.8225,299.14,78,40,6.17,CC,1687894608
4,ephrata,40.1798,-76.1788,299.96,83,40,3.6,US,1687894609
5,rengo,-34.4167,-70.8667,288.33,70,83,2.18,CL,1687894609
6,poxoreo,-15.8372,-54.3892,303.77,27,0,2.86,BR,1687894609
7,minas de marcona,-15.2119,-75.1103,290.41,58,0,5.49,PE,1687894610
8,svetlyy,54.675,20.1347,287.57,85,69,7.75,RU,1687894610
9,iqaluit,63.7506,-68.5145,280.0,70,75,5.14,CA,1687894611
10,adamstown,-25.066,-130.1015,294.4,77,85,12.35,PN,1687894611
11,alausi,-2.2,-78.8333,286.96,75,83,1.49,EC,1687894611
12,college,64.8569,-147.8028,292.85,53,75,4.63,US,1687894611
13,labrador city,52.9463,-66.9114,288.1,82,100,4.12,CA,1687894612
14,kataba,13.9833,44.3833,295.29,55,89,1.59,YE,1687894612
15,new plymouth,-39.0667,174.0833,283.6,90,4,1.52,NZ,1687894612
16,marsh harbour,26.5412,-77.0636,302.33,72,6,4.12,BS,1687894517
17,huarmey,-10.0681,-78.1522,296.54,68,11,5.72,PE,1687894613
18,puerto colombia,10.9878,-74.9547,305.2,76,38,6.28,CO,1687894613
19,bengkulu,-3.8004,102.2655,297.39,91,100,2.78,ID,1687894613
20,bethel,41.3712,-73.414,298.35,78,100,2.06,US,1687894614
21,colonia,50.9333,6.95,294.79,60,100,1.45,DE,1687894409
22,avarua,-21.2078,-159.775,298.18,88,100,4.63,CK,1687894615
23,magole,-6.3667,37.3667,291.72,74,0,0.88,TZ,1687894615
24,ciudad lazaro cardenas,17.9583,-102.2,304.82,61,91,5.8,MX,1687894535
25,ushuaia,-54.8,-68.3,272.94,74,0,1.54,AR,1687894616
26,touros,-5.1989,-35.4608,299.6,75,31,5.84,BR,1687894616
27,aasiaat,68.7098,-52.8699,275.83,89,100,1.65,GL,1687894617
28,saint-joseph,-21.3667,55.6167,294.36,76,72,2.65,RE,1687894617
29,lompoc,34.6391,-120.4579,298.53,78,100,5.66,US,1687894617
30,tazovsky,67.4667,78.7,279.72,88,96,3.43,RU,1687894618
31,sal rei,16.1833,-22.9167,299.26,69,75,5.14,CV,1687894618
32,hithadhoo,-0.6,73.0833,301.21,69,36,2.31,MV,1687894619
33,lebu,-37.6167,-73.65,284.72,78,13,2.78,CL,1687894336
34,portland,45.5234,-122.6762,298.14,54,20,2.68,US,1687894037
35,praia da vitoria,38.7333,-27.0667,296.29,83,75,5.77,PT,1687894619
36,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,75,2.0,RU,1687894620
37,georgetown,5.4112,100.3354,300.11,87,20,0.0,MY,1687894522
38,kodiak,57.79,-152.4072,281.88,93,100,7.2,US,1687894620
39,howrah,22.5892,88.3103,300.15,94,75,2.06,IN,1687894620
40,jacksonville,30.3322,-81.6556,309.85,53,75,6.17,US,1687894363
41,grytviken,-54.2811,-36.5092,268.6,74,100,3.35,GS,1687894621
42,puerto natales,-51.7236,-72.4875,273.4,100,100,1.54,CL,1687894621
43,blackmans bay,-43.0167,147.3167,279.22,89,92,4.15,AU,1687894621
44,talnakh,69.4865,88.3972,283.82,71,100,0.73,RU,1687894621
45,greymouth,-42.4667,171.2,281.6,92,51,2.72,NZ,1687894622
46,dudinka,69.4058,86.1778,284.05,64,5,3.07,RU,1687894622
47,el nido,11.1858,119.3956,300.15,85,100,5.52,PH,1687894623
48,badger,64.8,-147.5333,292.8,54,40,4.63,US,1687894623
49,at taj,24.2049,23.2857,303.5,22,0,6.99,LY,1687894623
50,margaret river,-33.95,115.0667,285.88,78,54,3.09,AU,1687894623
51,port-aux-francais,-49.35,70.2167,275.7,75,100,10.24,TF,1687894624
52,hsinchu,24.8036,120.9686,301.96,83,100,1.34,TW,1687894624
53,livingstonia,-10.606,34.1063,287.61,66,0,1.52,MW,1687894624
54,igarka,67.4667,86.5833,281.98,87,92,3.14,RU,1687894625
55,luderitz,-26.6481,15.1594,286.55,86,35,7.61,NA,1687894625
56,saint-affrique,43.9558,2.8892,291.44,77,43,2.21,FR,1687894625
57,awjilah,29.1081,21.2869,299.87,56,0,7.91,LY,1687894625
58,ust-nera,64.5667,143.2,291.99,65,95,2.64,RU,1687894626
59,haiku-pauwela,20.9219,-156.3051,299.84,81,40,7.2,US,1687894626
60,taco pozo,-25.6167,-63.2833,304.5,33,0,4.35,AR,1687894627
61,peterhead,57.5058,-1.7981,287.84,98,100,7.52,GB,1687894627
62,albany,42.6001,-73.9662,297.01,86,100,0.89,US,1687894627
63,shenjiamen,29.9576,122.298,297.28,94,4,8.7,CN,1687894627
64,utrik,11.2278,169.8474,301.07,82,100,9.31,MH,1687894628
65,susuman,62.7833,148.1667,288.25,78,89,2.14,RU,1687894628
66,vila franca do campo,37.7167,-25.4333,295.38,78,1,5.66,PT,1687894433
67,tadine,-21.55,167.8833,293.49,63,12,5.77,NC,1687894628
68,atafu village,-8.5421,-172.5159,301.8,77,58,6.86,TK,1687894629
69,besskorbnaya,44.6447,41.311,288.9,92,1,2.86,RU,1687894629
70,galliano,29.4422,-90.2992,309.82,52,0,6.17,US,1687894630
71,santa vitoria do palmar,-33.5189,-53.3681,285.41,95,100,3.83,BR,1687894630
72,roma,43.2128,-75.4557,300.22,64,20,4.12,US,1687894631
73,olonkinbyen,70.9221,-8.7187,280.38,91,0,5.29,SJ,1687894631
74,revelstoke,50.9832,-118.2023,301.16,36,100,1.03,CA,1687894631
75,tromso,69.6496,18.957,286.16,71,0,7.72,NO,1687894619
76,malango,-2.9627,119.9001,292.44,98,32,0.65,ID,1687894632
77,springfield,37.2153,-93.2982,301.99,55,61,1.79,US,1687894564
78,tralee,52.2704,-9.7026,290.34,95,100,2.87,IE,1687894632
79,thompson,55.7435,-97.8558,296.24,43,75,3.6,CA,1687894632
80,jamestown,42.097,-79.2353,293.95,83,100,5.14,US,1687894348
81,broken hill,-31.95,141.4333,283.6,98,100,3.09,AU,1687894633
82,greenville,35.6127,-77.3663,305.16,54,40,2.57,US,1687894471
83,ghat,24.9647,10.1728,306.87,13,2,1.83,LY,1687894634
84,kiunga,-6.1219,141.2906,296.08,99,98,1.18,PG,1687894634
85,hermanus,-34.4187,19.2345,288.04,90,100,1.53,ZA,1687894634
86,la ronge,55.1001,-105.2842,295.27,52,75,4.12,CA,1687894635
87,lihue,21.9789,-159.3672,300.92,64,20,6.69,US,1687894635
88,polyarnyy,69.1989,33.4478,284.46,77,51,1.16,RU,1687894635
89,upington,-28.4478,21.2561,283.36,66,29,1.54,ZA,1687894635
90,kapa'a,22.0752,-159.319,301.33,72,20,6.69,US,1687894636
91,moab,38.5733,-109.5498,307.93,7,0,10.04,US,1687894547
92,punta arenas,-53.15,-70.9167,274.21,93,100,7.2,CL,1687894636
93,port mathurin,-19.6833,63.4167,295.67,57,94,3.24,MU,1687894636
94,la passe,45.5549,-0.8967,297.28,75,49,4.31,FR,1687894637
95,sittwe,20.15,92.9,299.66,89,99,2.88,MM,1687894637
96,alice springs,-23.7,133.8833,286.9,100,100,0.51,AU,1687894638
97,vorgashor,67.5833,63.95,281.72,69,98,1.52,RU,1687894638
98,isafjordur,66.0755,-23.124,286.17,62,40,7.2,IS,1687894638
99,sinan,34.8262,126.1086,297.21,99,100,5.54,KR,1687894639
100,kapuskasing,49.4169,-82.4331,291.2,39,75,7.2,CA,1687894506
101,keflavik,64.0049,-22.5624,285.1,87,100,8.23,IS,1687894639
102,ribeira grande,38.5167,-28.7,296.37,73,20,9.83,PT,1687894640
103,pisco,-13.7,-76.2167,295.18,60,100,5.14,PE,1687894640
104,edinburgh of the seven seas,-37.0676,-12.3116,286.09,76,45,4.79,SH,1687894640
105,callao,-12.0667,-77.15,297.99,68,75,5.14,PE,1687894640
106,ta`u,-14.2336,-169.5144,300.53,74,84,6.54,AS,1687894641
107,den burg,53.0542,4.7972,290.35,82,100,3.09,NL,1687894641
108,ancud,-41.8697,-73.8203,282.85,85,44,7.61,CL,1687894641
109,gradistea,44.2333,27.2167,294.32,62,0,3.26,RO,1687894642
110,st. thomas,42.7736,-81.1804,292.46,85,89,9.04,CA,1687894642
111,stanley,54.868,-1.6985,289.16,92,40,2.06,GB,1687894642
112,arkhangel'sk,64.5401,40.5433,286.38,77,15,2.63,RU,1687894642
113,duong dong,10.2167,103.9667,302.15,89,40,1.03,VN,1687894643
114,hamilton,39.1834,-84.5333,298.21,70,100,6.17,US,1687894002
115,iskateley,67.6803,53.1512,279.57,91,100,3.77,RU,1687894643
116,beira,-19.8436,34.8389,295.2,83,40,1.03,MZ,1687894643
117,port macquarie,-31.4333,152.9167,286.8,57,100,1.7,AU,1687894612
118,jiexiu,37.0244,111.9125,295.6,84,100,1.16,CN,1687894356
119,jiangyou,31.7667,104.7167,296.33,97,100,2.84,CN,1687894644
120,lagoa,39.05,-27.9833,292.94,89,4,8.99,PT,1687894645
121,cove,7.221,2.3402,296.66,91,100,2.46,BJ,1687894645
122,papatowai,-46.5619,169.4708,283.91,96,100,4.7,NZ,1687894645
123,sitka,57.0531,-135.33,286.09,94,100,2.57,US,1687894645
124,juneau,58.3019,-134.4197,288.27,97,100,4.63,US,1687894373
125,hushitai,41.9322,123.5114,294.1,84,0,3.68,CN,1687894646
126,vorkuta,67.5,64.0,281.88,71,99,1.61,RU,1687894646
127,kaliua,-5.0606,31.7936,294.52,51,38,1.88,TZ,1687894646
128,cuajinicuilapa,16.4667,-98.4167,308.17,43,8,3.91,MX,1687894646
129,walla walla,46.0646,-118.343,300.66,49,75,6.17,US,1687894647
130,port elizabeth,-33.918,25.5701,289.87,82,40,10.29,ZA,1687894617
131,bardai,11.65,7.2333,301.61,51,92,3.54,NG,1687894647
132,fale old settlement,-9.3852,-171.2468,301.6,78,18,7.71,TK,1687894647
133,chonchi,-42.6128,-73.8092,284.88,85,22,2.91,CL,1687894648
134,qaisumah,28.3112,46.1273,309.13,13,0,2.57,SA,1687894648
135,mount pearl,47.5166,-52.7813,289.24,79,75,7.72,CA,1687894648
136,mustafakemalpasa,40.0353,28.4117,297.18,78,0,0.42,TR,1687894649
137,saint-pierre,-21.3393,55.4781,294.97,53,100,3.6,RE,1687894649
138,yellowknife,62.456,-114.3525,296.44,49,20,4.63,CA,1687894649
139,bardstown,37.8092,-85.4669,301.83,61,75,3.6,US,1687894484
140,mirabella imbaccari,37.3275,14.4463,297.64,48,0,0.45,IT,1687894650
141,cabo san lucas,22.8909,-109.9124,305.71,56,75,5.66,MX,1687894650
142,tongliao,43.6125,122.2653,293.57,76,0,2.78,CN,1687894650
143,pueblo,38.2545,-104.6091,309.73,19,0,7.72,US,1687894651
144,hawaiian paradise park,19.5933,-154.9731,297.06,95,100,2.57,US,1687894651
145,mugia,43.1041,-9.2179,291.99,81,23,10.38,ES,1687894651
146,anadyr,64.75,177.4833,282.43,87,75,5.0,RU,1687894652
147,antsiranana,-12.2787,49.2917,294.76,67,0,6.82,MG,1687894652
148,port saint john's,-31.6229,29.5448,291.05,86,100,6.83,ZA,1687894652
149,tsengel,49.4783,100.8894,278.3,89,6,0.95,MN,1687894652
150,puerto baquerizo moreno,-0.9,-89.6,300.7,69,75,5.66,EC,1687894653
151,constantia,44.1833,28.65,296.53,61,0,5.49,RO,1687894621
152,newman,37.3138,-121.0208,300.38,10,100,0.99,US,1687894653
153,mohr,54.3528,9.7167,290.23,68,20,6.17,DE,1687894654
154,benguela,-12.5763,13.4055,291.43,89,39,1.28,AO,1687894572
155,tahe,52.3333,124.7333,289.84,99,100,1.35,CN,1687894654
156,phan rang-thap cham,11.5667,108.9833,297.98,90,36,1.64,VN,1687894654
157,zalanga,10.6143,10.1765,299.39,61,88,2.29,NG,1687894655
158,nuuk,64.1835,-51.7216,280.49,81,100,14.92,GL,1687894655
159,faya-largeau,17.9257,19.1043,308.59,12,3,4.53,TD,1687894656
160,magadan,59.5667,150.8,284.79,87,59,0.33,RU,1687894656
161,nova sintra,14.8667,-24.7167,294.43,77,10,5.32,CV,1687894656
162,priladozhskiy,59.85,31.4833,291.22,1,85,2.34,RU,1687894657
163,djambala,-2.5447,14.7533,298.06,58,99,2.2,CG,1687894657
164,zeya,53.75,127.2667,291.39,88,100,1.55,RU,1687894658
165,cockburn town,21.4612,-71.1419,301.52,75,100,4.97,TC,1687894606
166,paciran,-6.8767,112.3761,297.32,85,60,3.66,ID,1687894658
167,qaqortoq,60.7167,-46.0333,282.53,61,100,2.99,GL,1687894658
168,mawlaik,23.6333,94.4167,298.09,98,91,0.24,MM,1687894659
169,priozersk,61.0393,30.1291,290.34,100,92,1.0,RU,1687894659
170,cartagena del chaira,1.3349,-74.8429,302.51,66,78,1.3,CO,1687894659
171,gandai,21.6667,81.1,297.86,93,100,5.62,IN,1687894660
172,nagqu,31.5,92.0,277.87,94,100,2.62,CN,1687894660
173,klyuchi,52.2667,79.1667,286.63,84,38,4.23,RU,1687894660
174,borba,-4.3878,-59.5939,303.95,55,97,0.79,BR,1687894660
175,puerto ayora,-0.7393,-90.3518,302.13,86,35,3.13,EC,1687894661
176,mantenopolis,-18.8625,-41.1228,295.51,62,63,1.85,BR,1687894661
177,nyurba,63.2842,118.3319,286.74,69,11,1.41,RU,1687894661
178,qulsary,46.9531,54.0198,298.05,28,100,5.81,KZ,1687894661
179,east london,-33.0153,27.9116,290.21,81,100,10.12,ZA,1687894662
180,malvan,16.0667,73.4667,300.51,81,100,5.31,IN,1687894662
181,ocean city,39.2776,-74.5746,301.29,77,86,5.78,US,1687894597
182,mikumi,-7.4041,36.9831,291.37,65,0,1.75,TZ,1687894663
183,bathsheba,13.2167,-59.5167,300.49,89,75,5.66,BB,1687894663
184,nizhneudinsk,54.9076,99.0276,280.25,83,0,1.23,RU,1687894663
185,enewetak,11.3474,162.3373,301.26,80,81,7.95,MH,1687894663
186,rio blanco,18.8333,-97.15,299.19,61,34,3.94,MX,1687894619
187,kerikeri,-35.2268,173.9474,282.11,94,14,2.35,NZ,1687894664
188,rada tilly,-45.9333,-67.5333,280.42,70,0,2.06,AR,1687894664
189,nhlangano,-27.1167,31.2,282.4,67,0,0.07,SZ,1687894665
190,barcelos,41.5388,-8.6151,297.23,65,1,2.8,PT,1687894594
191,ola,59.5833,151.2833,284.4,90,82,0.22,RU,1687894665
192,jertih,5.7336,102.4897,298.12,91,64,1.53,MY,1687894666
193,george town,5.4112,100.3354,300.11,87,20,0.0,MY,1687894522
194,abashiri,44.0213,144.2697,290.62,93,100,4.92,JP,1687894666
195,port alfred,-33.5906,26.891,289.36,82,100,3.13,ZA,1687894667
196,lerik,38.7726,48.4128,290.55,60,0,1.53,AZ,1687894667
197,dowa,-13.654,33.9375,285.12,53,0,1.0,MW,1687894667
198,quibala,-10.7337,14.98,288.23,76,0,1.16,AO,1687894668
199,navirai,-23.065,-54.1906,295.96,60,0,1.82,BR,1687894668
200,dryden,49.7833,-92.7503,295.31,53,75,2.57,CA,1687894562
201,las palmas,28.4204,-14.0131,299.59,61,20,6.17,ES,1687894668
202,mil'kovo,55.6078,37.7956,289.37,86,100,0.92,RU,1687894669
203,tosontsengel,48.7567,98.2839,277.0,60,2,0.28,MN,1687894669
204,saipan,15.1355,145.701,300.73,100,40,3.6,MP,1687894669
205,imbituba,-28.24,-48.6703,292.99,77,5,1.1,BR,1687894670
206,acapulco de juarez,16.8634,-99.8901,305.05,66,20,2.57,MX,1687894670
207,hoemul-li,41.4339,129.67,292.53,86,91,1.86,KP,1687894670
208,codrington,-38.2667,141.9667,280.27,93,56,2.88,AU,1687894671
209,sarmiento,-45.5882,-69.07,280.08,59,76,1.33,AR,1687894671
210,waingapu,-9.6567,120.2641,297.6,84,11,1.81,ID,1687894672
211,invercargill,-46.4,168.35,283.5,97,100,2.86,NZ,1687894672
212,santa cruz,-17.8,-63.1667,300.18,69,75,6.69,BO,1687894672
213,talcahuano,-36.7167,-73.1167,287.97,63,40,3.6,CL,1687894673
214,olinda,-8.0089,-34.8553,300.0,78,40,6.17,BR,1687894673
215,tiquipaya,-17.3382,-66.2189,298.55,10,0,1.34,BO,1687894673
216,sanya,18.2431,109.505,301.24,89,20,2.0,CN,1687894674
217,shanhaiguan,39.9988,119.7564,295.15,75,100,1.43,CN,1687894674
218,vilyuchinsk,52.9306,158.4028,287.3,83,100,0.9,RU,1687894675
219,sisimiut,66.9395,-53.6735,277.79,85,100,7.68,GL,1687894675
220,lerwick,60.1545,-1.1494,287.15,90,94,8.49,GB,1687894675
221,zaragoza,41.6561,-0.8773,300.4,50,0,9.26,ES,1687894676
222,buea,4.1527,9.241,292.6,96,100,1.15,CM,1687894676
223,gislaved,57.3044,13.5408,289.59,94,10,0.76,SE,1687894676
224,price,39.5994,-110.8107,299.88,11,0,5.66,US,1687894677
225,san patricio,28.017,-97.5169,312.55,39,4,7.89,US,1687894677
226,remire-montjoly,4.9167,-52.2667,299.17,89,75,1.03,GF,1687894677
227,wailua homesteads,22.0669,-159.378,300.59,72,20,6.69,US,1687894677
228,port lincoln,-34.7333,135.8667,283.8,84,10,3.86,AU,1687894678
229,kolonia,50.9333,6.95,294.42,55,100,1.45,DE,1687894643
230,ts'alenjikha,42.6044,42.0682,292.05,96,60,0.35,GE,1687894678
231,dapa,9.7594,126.0531,300.92,77,93,1.84,PH,1687894679
232,tomatlan,19.9333,-105.25,310.79,37,46,4.71,MX,1687894679
233,jaru,-10.4389,-62.4664,304.2,53,0,1.2,BR,1687894679
234,moyynkum,44.2914,72.9469,296.45,23,0,4.05,KZ,1687894679
235,isola della scala,45.2722,11.009,300.4,44,40,6.69,IT,1687894680
236,coquimbo,-29.9533,-71.3436,292.0,59,0,5.66,CL,1687894654
237,hanzhong,33.0728,107.0303,295.44,97,100,1.0,CN,1687894680
238,st. john's,47.5649,-52.7093,289.7,79,75,7.72,CA,1687894575
239,conduaga,8.862,117.4893,299.34,86,100,1.75,PH,1687894681
240,monywa,22.1167,95.1333,302.03,66,13,4.46,MM,1687894686
241,queenstown,-31.8976,26.8753,283.34,86,99,3.03,ZA,1687894687
242,saldanha,-33.0117,17.9442,284.18,88,100,4.52,ZA,1687894687
243,taoudenni,22.6783,-3.9836,313.25,13,27,3.48,ML,1687894687
244,bilibino,68.0546,166.4372,280.6,67,99,1.87,RU,1687894688
245,chibougamau,49.9168,-74.3659,290.94,94,100,3.09,CA,1687894688
246,hinton,53.4001,-117.5857,296.03,40,89,2.37,CA,1687894688
247,mandali,33.7499,45.5541,305.76,14,0,4.1,IQ,1687894689
248,holualoa,19.6228,-155.9522,299.01,78,20,2.68,US,1687894689
249,mahibadhoo,3.7833,72.9667,301.23,76,97,4.07,MV,1687894689
250,moose jaw,50.4001,-105.5344,300.3,29,75,3.09,CA,1687894689
251,cabedelo,-6.9811,-34.8339,301.52,83,6,5.89,BR,1687894690
252,berryville,36.3648,-93.568,302.28,29,100,2.22,US,1687894690
253,kwang binh,17.4833,106.6,299.76,88,92,1.41,VN,1687894690
254,kingston,17.997,-76.7936,303.68,74,75,7.2,JM,1687894662
255,brisas de zicatela,15.8369,-97.0419,305.44,55,40,4.63,MX,1687894691
256,khalis,33.82,44.5264,306.39,15,0,5.06,IQ,1687894691
257,patong,7.8961,98.2966,302.05,99,98,5.53,TH,1687894691
258,aykhal,66.0,111.5,287.95,47,98,2.58,RU,1687894691
259,gizo,-8.103,156.8419,299.85,84,100,6.14,SB,1687894692
260,khovd,48.0056,91.6419,287.37,34,89,1.55,MN,1687894692
261,sparta,43.9441,-90.8129,301.74,46,20,0.0,US,1687894448
262,rivera,-30.9053,-55.5508,294.98,70,100,4.97,UY,1687894692
263,auch,43.65,0.5833,295.62,99,100,1.7,FR,1687894693
264,ambodifotatra,-16.9833,49.85,296.22,60,91,4.31,MG,1687894693
265,flying fish cove,-10.4217,105.6791,297.97,78,75,5.14,CX,1687894693
266,mount isa,-20.7333,139.5,285.02,76,8,1.03,AU,1687894693
267,okhotsk,59.3833,143.3,285.61,90,99,2.2,RU,1687894693
268,selkirk,50.1436,-96.8845,300.98,46,96,4.16,CA,1687894694
269,monrovia,6.3005,-10.7969,297.02,74,100,6.02,LR,1687894566
270,gamba,-2.65,10.0,295.5,89,64,2.91,GA,1687894694
271,neryungri,56.6709,124.6491,288.38,80,75,1.83,RU,1687894694
272,longyearbyen,78.2186,15.6401,280.06,93,100,0.0,SJ,1687894695
273,le port,-20.9373,55.2919,295.15,78,50,3.82,RE,1687894695
274,la'ie,21.6477,-157.9253,301.13,72,29,6.26,US,1687894695
275,gorontalo,0.5412,123.0595,296.86,95,13,1.0,ID,1687894695
276,segou,13.4317,-6.2157,308.31,34,89,2.43,ML,1687894697
277,acarau,-2.8856,-40.12,300.51,73,41,5.96,BR,1687894697
278,maragogi,-9.0122,-35.2225,297.87,85,40,4.39,BR,1687894697
279,turbiv,49.3479,28.7212,288.5,93,100,5.27,UA,1687894697
